colaborador,degree,betweenness,closeness,pagerank,eigenvector
gustavokurtz,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
brunoh3art,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
kataqatsi,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
IngridMorstrad,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
Shaps,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
devmobasa,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
giovantenne,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
maromalo,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
DoKoB0512,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
seanmitchell,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
sobran,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
gyllen,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
w3ntry,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
gustavedenis,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
pastr,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
jeremytregunna,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
xadcv,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
kieeps,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
jeffmancilla,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
ToniFeliudeC,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
LinAnt,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
matt-h,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
iharsuvorau,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
yacmeno,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
nbw,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
mrjoedang,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
MatyiFKBT,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
etanshaul,0.0003792188092529389,0.0,0.12422769441057725,0.00017101651706249614,0.00043196968350659045
fijiaaron,0.0003792188092529389,0.0,0.12422769441057725,0.00017101651706249614,0.00043196968350659045
CinnamonShaey,0.0003792188092529389,0.0,0.09834064423084758,0.00017092975848751992,0.0002632669357602535
cai0baa,0.0003792188092529389,0.0,0.09834064423084758,0.00017092975848751992,0.0002632669357602535
ToprakBZK,0.0003792188092529389,0.0,0.09834064423084758,0.00017092975848751992,0.0002632669357602535
MathiasDevelopes,0.0003792188092529389,0.0,0.11552810003006828,0.00017062845174853531,0.00018660398213010592
i-am-mike-davis,0.0003792188092529389,0.0,0.11552810003006828,0.00017062845174853531,0.00018660398213010592
meestree,0.0003792188092529389,0.0,0.10952029638873305,0.00017040136930044692,0.00017778123697525781
mkccl,0.0003792188092529389,0.0,0.10952029638873305,0.00017040136930044692,0.00017778123697525781
arifur,0.0003792188092529389,0.0,0.10952029638873305,0.00017040136930044692,0.00017778123697525781
OthinusG,0.0003792188092529389,0.0,0.10952029638873305,0.00017040136930044692,0.00017778123697525781
juanjesus0714,0.0003792188092529389,0.0,0.10952029638873305,0.00017040136930044692,0.00017778123697525781
jleontidis,0.0003792188092529389,0.0,0.10938202522655312,0.0001686886549798684,0.00018008545725758569
brunosabenca,0.0003792188092529389,0.0,0.10938202522655312,0.0001686886549798684,0.00018008545725758569
WillEhrendreich,0.0003792188092529389,0.0,0.09863404857904153,0.00016846745971035412,2.5273480993101427e-05
Kolgann,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
SirMaxwellSmart,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
BasitAli,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
cebms,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
krzysztofplazio,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
rogervn,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
Glue415,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
tbasten,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
simonmwessel,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
smsanagustin,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
erdnuesse,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
mhbidhan,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
daltonwillard,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
andresantoniuk,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
robindegen,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
henriquebremenkanp,0.0003792188092529389,0.0,0.12513722081153125,0.0001676261372809991,0.000488688120226745
yuri-xyz,0.0003792188092529389,0.0,0.12303536161078915,0.00016723142967944643,0.010135233425259705
rbaezam,0.0003792188092529389,0.0,0.109391549958809,0.00016710718451872462,0.0006584356565662867
roee1454,0.0003792188092529389,0.0,0.109391549958809,0.00016710718451872462,0.0006584356565662867
donwalassjgod,0.0003792188092529389,0.0,0.109391549958809,0.00016710718451872462,0.0006584356565662867
hassandevelops,0.0003792188092529389,0.0,0.109391549958809,0.00016710718451872462,0.0006584356565662867
koncinar,0.0003792188092529389,0.0,0.109391549958809,0.00016710718451872462,0.0006584356565662867
